职位名称,公司名称,位置,工资,职位链接
软件测试,华为终端有限公司,武汉·江夏区·光谷东,11-20K,https://www.zhipin.com/job_detail/b34e1ae5eea6b1bb1Hd-3N66GVFT.html?lid=4libl3EPBMj.search.16&securityId=hgRnLcLt58wSn-b1gSXNkySl0GTucBpF5TlUvjR19GcJ9w-_Jaa5wI6lW9mkzVh5KZuZB9j38FF59aWt7Rt2WQc0SnI55Owpwk6tud7HzC4FpSXQElY~&sessionId=
软件测试,武汉全乐科技有限公司,武汉·武昌区,3-5K,https://www.zhipin.com/job_detail/de973a88f729f3071nZ83d69ElI~.html?lid=4libl3EPBMj.search.17&securityId=iC208tjN7nB0c-m14DhJf0J0iAj7vSBOyuGnYNsDNXY8WRSqkhJ_4SAwrRdmxEort3kPgVNfrnhzmxhwbAz85xZocHL5WnLV8T0I7Nbp1FDrXU4~&sessionId=
软件测试,华为,武汉·江夏区·光谷东,13-26K·16薪,https://www.zhipin.com/job_detail/554420fc5771c9e01HNy29-8FVJR.html?lid=4libl3EPBMj.search.18&securityId=WtzvvBNUVOlQq-91l9u1F4rbF7x9_H1RGVIeB3fc_O7uEzqt3SbHDoRrGKQtHMSgmrJsVsjPh3ht8OnurYFEJ9EAgPB-v5TF3-YSnu3HCAKdbYQ~&sessionId=
软件测试,睿服科技,武汉·黄陂区·滠口,8-12K,https://www.zhipin.com/job_detail/ed1140c9616f71931H1z2d2-FVVT.html?lid=4libl3EPBMj.search.19&securityId=6VLT0m-C_RvC8-g144BhbHH7sMY7Sx7yj3WctIomP7POdD0L8LMHSG1K2nWTfFL592y1iONlKa3JRmiCNIjnrOtaIt6Eq9D73Xl4UiF9UHchAQAjzg~~&sessionId=
软件测试,东信同邦,武汉·洪山区·光谷,4-5K,https://www.zhipin.com/job_detail/a343ecd1cba65e410nR93Nm0FFI~.html?lid=4libl3EPBMj.search.20&securityId=D6B3KaWp89TdT-_1IYjFODCtCCL-iBibO37ghyZV9Ay98N6eLDIrzLHoLKIWzC482MhUx3qMb7aI2JK-hspA1sK95THblH13tFpngIC57X3ESg~~&sessionId=
软件测试,武汉市江夏区辉叶...,武汉·汉阳区·琴断口,8-9K,https://www.zhipin.com/job_detail/93a02b15a19dcac21Hx83du0FVRY.html?lid=4libl3EPBMj.search.21&securityId=nEfQ34SF_WUKp-m1WfMMnsGXurrBHEOYpQyfduhP34gY4kI9YFo75lyG98qhoL1s1-oZiW265KP6FjIZNVcBmhZuzHTGlqKWKXFuYk0h8VWI8iwsKBrE&sessionId=
软件测试,诚信消防,武汉·青山区·武钢厂区,8-9K,https://www.zhipin.com/job_detail/15ef48d1d45e34431n1z39i1FVZX.html?lid=4libl3EPBMj.search.22&securityId=IHT1FtihVXlHO-P1GPSmkKJtSUBuMiVTGQEOlUZimYPQMKQJ-vIBnjDxGbYaPzsZCWwBhKBDX-YMa_DzT4aA-6RqfOiuXXcSL3L4pxXpVb-OTH48OCI~&sessionId=
软件测试,上点点,武汉·江汉区·唐家墩,4-6K,https://www.zhipin.com/job_detail/44099479762d93ad1HZz2dy0FFtX.html?lid=4libl3EPBMj.search.23&securityId=ITekUHlu8FxE9-J1vuKHbXfgoPRUK2vZZiktzVIaYhWFG1eMMRemVbmE80VkppWfGYAovHitPiIh4HsZHEIv2SyvEEe9FnQ2DAKImJImsYRnncISTw~~&sessionId=
软件测试,艺享传媒,武汉,5-10K,https://www.zhipin.com/job_detail/3cfe8a34fa6e0e531Hx439S0F1dV.html?lid=4libl3EPBMj.search.24&securityId=7MWFrt8eM3_bW-113lYOmmiM_xXo2039HVPu8gBgJWJnfnmisHaULDSGIhLjfZmGnpnNs-jPHBxhrRZJ1ockOo8z0BRSh58huf_FSdR4PzRvUEKrDFM~&sessionId=
软件测试,益邦信息,武汉·洪山区·关山,7-9K,https://www.zhipin.com/job_detail/45f51e55830d1e2f1HF62di5FVdT.html?lid=4libl3EPBMj.search.25&securityId=LqWU54yOvDkK0-s16PNe7dOFQimpqCwdcQySDnP02xmQPy4c7U6uhDOo1z3iJG2X2VCuO7gqfgqVwHWq8KXKCA0uqiDUh8sRYYXnjJpyq33pSmgdYkvQ&sessionId=
软件测试,博彦科技,武汉·洪山区·关山,9-10K,https://www.zhipin.com/job_detail/4f695650d741d7f11Hx509u6EFNQ.html?lid=4libl3EPBMj.search.26&securityId=DfDZZBTiE6iws-X1jaO_5I8IUU2lP-N89cbBnW0eMPjtw3gb0Exe3jOOcQR_ynnW5kveVmD12zHmuDWCEePg6PVaIUxXDNl_3GRMSa0yqZC6WE-4&sessionId=
